# 华擎 ASRock 显卡型号表（官网核实）

来源：asmrock.com 官网显卡产品页抓取，2026-09 核查。
这是本项目中**唯一逐条核对了覆盖型号**的 AIC 厂商，
数据用于 js/db-aib.js 中 asrock-* 系列的 onlyGpus 字段。

格式：完整型号名 | 所属 GPU | 厂内 SKU 代号

---
Intel Arc A770 Phantom Gaming 16GB OC | Intel Arc A770 | A770 PG 16GO
Intel Arc A770 Challenger 16GB OC | Intel Arc A770 | A770 CL 16GO
Intel Arc A770 Challenger SE 16GB OC | Intel Arc A770 | A770 CL SE 16GO
Intel Arc A770 Phantom Gaming D 8GB OC | Intel Arc A770 | A770 PGD 8GO
Intel Arc A750 Challenger D 8GB OC | Intel Arc A750 | A750 CLD 8GO
Intel Arc A750 Challenger SE 8GB OC | Intel Arc A750 | A750 CL SE 8GO
Intel Arc A580 Challenger 8GB OC | Intel Arc A580 | A580 CL 8GO
Intel Arc Pro B70 Passive 32GB | Intel Arc Pro B70 | B70 PS 32G
Intel Arc Pro B70 Creator 32GB | Intel Arc Pro B70 | B70 CT 32G
Intel Arc Pro B65 Passive 32GB | Intel Arc Pro B65 | B65 PS 32G
Intel Arc Pro B65 Creator 32GB | Intel Arc Pro B65 | B65 CT 32G
Intel Arc Pro B60 Passive 24GB | Intel Arc Pro B60 | B60 PS 24G
Intel Arc Pro B60 Creator 24GB | Intel Arc Pro B60 | B60 CT 24G
Intel Arc B580 Steel Legend 12GB OC | Intel Arc B580 | B580 SL 12GO
Intel Arc B580 Challenger 12GB OC | Intel Arc B580 | B580 CL 12GO
Intel Arc B570 Challenger 10GB OC | Intel Arc B570 | B570 CL 10GO
Intel Arc A380 Challenger ITX 6GB OC | Intel Arc A380 | A380 CLI 6GO
Intel Arc A310 Low Profile 4GB | Intel Arc A310 | A310 LP 4G
Radeon AI PRO R9700 Creator 32GB | AMD Radeon AI PRO R9700 | R9700 CT 32G
Radeon AI PRO R9600D Passive 32GB | AMD Radeon AI PRO R9600D | R9600D PS 32G
Radeon RX 9070 XT Taichi White 16GB OC | AMD Radeon RX 9070 XT | RX9070XT TCW 16GO
Radeon RX 9070 XT Taichi 16GB OC | AMD Radeon RX 9070 XT | RX9070XT TC 16GO
Radeon RX 9070 XT Steel Legend 16GB | AMD Radeon RX 9070 XT | RX9070XT SL 16G
Radeon RX 9070 XT Steel Legend Dark 16GB | AMD Radeon RX 9070 XT | RX9070XT SLD 16G
Radeon RX 9070 XT Challenger 16GB | AMD Radeon RX 9070 XT | RX9070XT CL 16G
Radeon RX 9070 GRE Steel Legend Dark 12GB OC | AMD Radeon RX 9070 GRE | RX9070GRE SLD 12GO
Radeon RX 9070 GRE Challenger 12GB | AMD Radeon RX 9070 GRE | RX9070GRE CL 12G
Radeon RX 9070 Steel Legend 16GB OC | AMD Radeon RX 9070 | RX9070 SL 16GO
Radeon RX 9070 Challenger 16GB | AMD Radeon RX 9070 | RX9070 CL 16G
Radeon RX 9060 XT Steel Legend 16GB OC | AMD Radeon RX 9060 XT | RX9060XT SL 16GO
Radeon RX 9060 XT Steel Legend 8GB OC | AMD Radeon RX 9060 XT | RX9060XT SL 8GO
